;Structure;Regex;Method;Example;Fact;IF Sentence then ... ;IF ... then Sentence
50;PNoun not Verb CNoun Variable.;.* [a-z] \\.$;pNounVerbCNounVariable;Roberta doesn't hold job X.;;... :- not hold(roberta, X), job(X).; - hold(roberta, X) :- ...
51;PNoun Verb Preposition CNoun Variable.;.* [a-z] \\.$;pNounVerbCNounVariable;Roberta works for person X.;;... :- work_for(roberta, X), person(X).;work_for(roberta, X) :- ...
52;PNoun not Verb Preposition CNoun Variable.;.* [a-z] \\.$;pNounVerbCNounVariable;Roberta does not work for person X.;;... :- not work_for(roberta, X), person(X).; - work_for(roberta, X) :- ...
53;PNoun Verb PNoun.;.* .* .* \\.$;pNounVerbPNoun;Roberta loves bob.;love(roberta, bob).;... :- love(roberta, bob).; love(roberta, bob) :- ...
54;PNoun not Verb PNoun.;.* .* .* \\.$;pNounVerbPNoun;Roberta doesn't love bob.; -love(roberta, bob).;... :- not love(roberta, bob).;  - love(roberta, bob) :- ...
55;PNoun Verb Preposition PNoun.;.* .* .* \\.$;pNounVerbPNoun;Roberta works for bob.;work_for(roberta, bob).;... :- work_for(roberta, bob).; work_for(roberta, bob) :- ...
56;PNoun not Verb Preposition PNoun.;.* .* .* \\.$;pNounVerbPNoun;Roberta does not work for bob.; - work_for(roberta, bob).;... :- not work_for(roberta, bob).; -work_for(roberta, bob) :- ...
57;there is a CNoun Variable.;there is(n't | n't | not | )a .* [a-z] \\.$;thereIsACNounVariable;There is a person X.;;... :- person(X).;person(X) :- ...
58;there is not a CNoun Variable.;there is(n't | n't | not | )a .* [a-z] \\.$;thereIsACNounVariable;There is not a person X.;;... :- not person(X).; - person(X) :- ...
59;CNoun Variable Verb more than Number CNoun Variable.;.* (more|less) than .*\\.$;cNounVariableVerbMoreLessThanNumberCNounVariable;Person X holds more than two jobs Y.;;... :- #count{Y : hold(X, Y)} > 2.;
60;CNoun Variable Verb less than Number CNoun Variable.;.* (more|less) than .*\\.$;cNounVariableVerbMoreLessThanNumberCNounVariable;Person X holds less than two jobs Y.;;... :- #count{Y : hold(X, Y)} < 2.;
61;a CNoun Variable is a CNoun of a Cnoun Variable.;a .* is(n't | n't | not | )a .* of a .*\\.;aCNounVariableIsACNounOfACNounVariable;A person X is a husband of a person Y.;;... :- husband(X, Y), person(X), person(Y).;husband(X, Y) :- ...
62;a CNoun Variable is not a CNoun of a CNoun Variable.;a .* is(n't | n't | not | )a .* of a .*\\.;aCNounVariableIsACNounOfACNounVariable;A person X is not a husband of a person Y.;;... :- not husband(X, Y), person(X), person(Y).; - husband(X, Y) :- ...
63;PNoun is [the] CNoun of [a] CNoun Variable.;.* is(n't | n't | not | ).* of .* [a-z] \\.;pNounIsCNounOfCNounVariable;Bob is the father of person X.;;... :- father(bob, X), person(X).;father(bob, X) :- ...
64;PNoun is not [the] CNoun of [a] CNoun Variable.;.* is(n't | n't | not | ).* of .* [a-z] \\.;pNounIsCNounOfCNounVariable;Bob is not the father of person X.;;... :- not father(bob, X), person(X).; - father(bob, X) :- ...
65;[a] CNoun Variable is [the] CNoun of [a] PNoun.;.* [a-z] is(n't | n't | not | ).* of .*\\.;cNounVariableIsCNounOfPNoun;Person X is the father of bob.;;... :- father(X, bob), person(X).;father(X, bob) :- ...
66;[a] CNoun Variable is not [the] CNoun of [a] PNoun.;.* [a-z] is(n't | n't | not | ).* of .*\\.;cNounVariableIsCNounOfPNoun;Person X is not the father of bob.;;... :- not father(X, bob), person(X).; - father(X, bob) :- ...
67;PNoun is [the] CNoun of [a] PNoun.;.* is(n't | n't | not | ).* of .*\\.;pNounIsCNounOfPNoun;Bob is the father of roberta.;father(bob, roberta).;... :- father(bob, roberta).;father(bob, roberta) :- ...
68;PNoun is not [the] CNoun of [a] PNoun.;.* is(n't | n't | not | ).* of .*\\.;pNounIsCNounOfPNoun;Bob is not the father of roberta.; - father(bob, roberta).;... :- not father(bob, roberta).; - father(bob, roberta) :- ...
;;;;;;;
;PNoun is abnormal with respect to DefaultRuleTag.;.* is abnormal with respect to .*\\.;PNounIsAbnormalWithRespectToDefaultRuleTag;Roberta is abnormal with respect to d1.;ab(d1,roberta).;;
;Variable is abnormal with respect to DefaultRuleTag.;.* is abnormal with respect to .*\\.;PNounIsAbnormalWithRespectToDefaultRuleTag;X is abnormal with respect to d1.;;;
;;;;;;;
;;;;;;;
;CNoun normally Verb.;.* normally .*\\.;CNounNormallyVerb;Birds normally fly.;;;
;CNoun normally not Verb.;.* normally .*\\.;CNounNormallyVerb;Animals normally do not fly.;;;
;CNoun normally are Adjective.;.* normally are(n't | n't | not | ).*\\.;CNounNormallyAreAdjective;Birds normally are beautifull.;;;
;CNoun normally are not Adjective.;.* normally are(n't | n't | not | ).*\\.;CNounNormallyAreAdjective;Birds normally are not ugly.;;;
;CNoun normally are Adjective Preposition CNoun.;.* normally are(n't | n't | not | ).*\\.;CNounNormallyAreAdjectivePrepositionCNoun;Students normally are afraid of math.;;;
;CNoun normally are not Adjective Preposition CNoun.;.* normally are(n't | n't | not | ).*\\.;CNounNormallyAreAdjectivePrepositionCNoun;Students normally are not afraid of architecture.;;;
